"filename", "language", "JSON", "HTML", "MS SQL", "TypeScript", "TypeScript JSX", "JavaScript", "JSON with Comments", "Markdown", "XML", "Rust", "comment", "blank", "total"
"/Users/junweiwang/Documents/github/wafer-overlay/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 29, 80
"/Users/junweiwang/Documents/github/wafer-overlay/eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 2, 17
"/Users/junweiwang/Documents/github/wafer-overlay/index.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/junweiwang/Documents/github/wafer-overlay/package.json", "JSON", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51
"/Users/junweiwang/Documents/github/wafer-overlay/postcss.config.cjs", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"/Users/junweiwang/Documents/github/wafer-overlay/public/tauri.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"/Users/junweiwang/Documents/github/wafer-overlay/public/vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/junweiwang/Documents/github/wafer-overlay/spec.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 185, 0, 0, 0, 61, 246
"/Users/junweiwang/Documents/github/wafer-overlay/sql/init.sql", "MS SQL", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 15, 25, 97
"/Users/junweiwang/Documents/github/wafer-overlay/src-tauri/build.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"/Users/junweiwang/Documents/github/wafer-overlay/src-tauri/capabilities/default.json", "JSON", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"/Users/junweiwang/Documents/github/wafer-overlay/src-tauri/src/commands.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 6, 43
"/Users/junweiwang/Documents/github/wafer-overlay/src-tauri/src/crypto/mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 2, 2, 22
"/Users/junweiwang/Documents/github/wafer-overlay/src-tauri/src/file/file_io.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 3, 22, 134
"/Users/junweiwang/Documents/github/wafer-overlay/src-tauri/src/file/file_lock.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 39, 10, 93
